자치구명,1인가구,2인가구,3인가구,4인가구
종로구,29779,16385,10318,6290
중구,28968,15780,8851,4873
용산구,40445,25430,15819,9224
성동구,48442,32898,23709,14467
광진구,72933,38355,26104,17172
동대문구,72355,39195,27255,17353
중랑구,69149,48505,31456,19153
성북구,70230,47600,35841,24414
강북구,53705,37137,22892,13617
도봉구,43347,39032,26815,16661
노원구,67182,57253,44156,30854
은평구,70568,57782,39136,24791
서대문구,56770,35219,25671,16339
마포구,73327,42478,29288,18582
양천구,47886,45678,39523,29674
강서구,106748,67830,45064,29435
구로구,62632,48392,33677,21421
금천구,53858,28904,17229,10046
영등포구,79698,44137,29830,18563
동작구,75148,42957,31008,19813
관악구,153605,56873,30644,18329
서초구,49443,41166,34783,26398
강남구,79274,57489,46591,34863
송파구,89720,71577,56661,40348
강동구,65601,52503,40652,28843
